replication,delta_E
1,-0.30441013795213584
2,-0.401500196590951
3,-0.06851611475042006
4,-0.33313260998799693
5,-0.2960089739483987
6,-0.18021929846248078
7,-0.07968803938891823
8,-0.31404299624532817
9,-0.243536589700113
10,-0.35002867332038196
11,-0.3624450527460574
12,-0.2543074361798446
13,-0.22845257768198848
14,-0.28590198696492913
15,-0.27031469830445554
16,-0.013443077184764942
17,-0.17641675897613154
18,-0.104465688815405
19,-0.228989597960857
20,-0.31524134621514655
21,-0.3438398901130379
22,-0.06707960911861982
23,-0.23354991113665227
24,-0.41010114922502267
25,0.0825536732371772
26,-0.22202749635372537
27,-0.23463473950620803
28,-0.13521983355634845
29,-0.16406515655605144
30,-0.28011375653300546
31,-0.24132733456251015
32,-0.3131043921520434
33,-0.22268675090854975
34,-0.26059514459660543
35,-0.3431086313957183
36,-0.21796827538832297
37,-0.376090562037458
38,-0.1767229391445637
39,-0.30963734255179887
40,-0.5216843068856881
41,-0.03576999333216638
42,-0.13125751312009992
43,-0.34033580021895005
44,-0.22040835879281523
45,-0.22366053090341204
46,-0.3045448888122167
47,-0.14563275977571766
48,-0.3850666696777519
49,-0.2498386173683959
50,-0.3954510052670681
51,-0.3546545154229786
52,-0.3774774478702715
53,-0.5157614483779551
54,-0.222477893722635
55,-0.2704074841607462
56,-0.23485020674315207
57,-0.26291732492870296
58,-0.2404923162855164
59,-0.21802008866443637
60,-0.114416363739579
61,0.006756442685711635
62,-0.3259333963109821
63,-0.2030326132657943
64,-0.34679646986821666
65,-0.18308327155161638
66,-0.37058242916178763
67,-0.3430944249887321
68,-0.4210243708362328
69,-0.2368884595946359
70,-0.34862876144277577
71,-0.16802841289701118
72,-0.32516395744186183
73,-0.14574703244335518
74,-0.20865737432392445
75,-0.14943852050420445
76,-0.3115302424229088
77,-0.42673669910605333
78,-0.3964448292073257
79,-0.4308659375234859
80,-0.2751304207070891
81,-0.2833070605617041
82,-0.27555062345963044
83,-0.34218498971805367
84,-0.38665256622855015
85,-0.2376991364061658
86,-0.165812226418226
87,-0.3147499960764353
88,-0.12492982355075752
89,-0.13597673359245346
90,-0.2141852681492575
91,0.011983295885200957
92,-0.21728466197333038
93,-0.1798984578343064
94,-0.26437007481985425
95,-0.31827482657824846
96,-0.3531667359166215
97,-0.20883357741953618
98,-0.264734814764143
99,-0.25787026258183354
100,-0.2842612073492924
101,-0.2194299968679262
102,-0.2225075216502494
103,-0.23766340845145037
104,-0.2532328280167697
105,-0.3952130936831554
106,-0.2354732216650245
107,-0.21552401161019813
108,-0.217844249082379
109,-0.3321475884314281
110,-0.244552687332977
111,-0.3272033827150632
112,-0.33988955678419663
113,-0.4641769352790089
114,-0.4859576953767436
115,-0.20018570038671318
116,-0.2079964264458629
117,-0.13123626771959984
118,-0.2994914767446442
119,-0.09415903428597681
120,-0.30007528028908076
121,-0.20313111982535795
122,-0.21766014199626885
123,-0.44918992162747545
124,-0.36231804762874803
125,-0.3123340152102513
126,-0.42494548989230463
127,-0.1530491949185521
128,-0.1956812916821438
129,-0.34548307313750415
130,-0.2791964028051486
131,-0.2186249277535208
132,-0.2298379293099998
133,-0.2167325682443453
134,-0.4046325738654687
135,-0.36672397532964707
136,-0.1573127196755065
137,-0.3324223191374604
138,-0.209930730092709
139,-0.22246749041013947
140,-0.07528229845576509
141,-0.2595131042644323
142,-0.47723671649237015
143,-0.22959348865564885
144,-0.09379710760080108
145,-0.40778383123368683
146,-0.23500400292886173
147,-0.41334691565550924
148,-0.022138672016715103
149,-0.048041173303551676
150,-0.3689607399098003
151,-0.20870509583580277
152,-0.3219625835922809
153,-0.17320648273263745
154,-0.16315962828366343
155,-0.33004617413499376
156,-0.23905352231291382
157,-0.47548172721836185
158,-0.17217119757791724
159,-0.12060483481323739
160,-0.26004418453607026
161,-0.3334319749364926
162,-0.25765498114843016
163,-0.3507400999292368
164,-0.2254553007256996
165,0.00351241724167231
166,-0.2742747028452991
167,-0.023996383259249104
168,-0.3129326059667982
169,-0.36481084783238066
170,-0.2511820076768943
171,-0.5202514166414235
172,-0.22349423092854762
173,-0.2400871635487639
174,-0.23265770476711495
175,-0.1428460546439722
176,-0.34403797321408675
177,-0.0503037934232133
178,-0.25596159027482857
179,-0.11317862387780868
180,-0.015005012388296352
181,-0.28564473751980923
182,-0.3057302102131197
183,-0.16282531185993665
184,-0.27365249819618837
185,-0.23089634982475318
186,-0.28291015687942983
187,-0.18873108465227326
188,-0.1358605922488851
189,-0.20796947799988125
190,-0.15400638757082577
191,-0.2850299660181355
192,-0.13052987207405287
193,-0.4953183138802428
194,-0.20095695740172084
195,-0.35007505280619616
196,-0.32989022999578355
197,-0.19710148442295608
198,-0.3590629690946626
199,-0.2254107186701768
200,-0.33111306537670887
201,-0.3873526113953073
202,-0.010720624685421272
203,-0.3106857808419113
204,-0.3080336975640906
205,-0.2954319687136257
206,-0.1007945612225639
207,-0.2620069093034041
208,-0.3390768469130251
209,-0.3782766540222365
210,-0.3942371635789771
211,-0.11291635345474434
212,-0.2522973806780986
213,-0.27293444568661274
214,-0.14753868494307665
215,-0.2941948639499951
216,-0.20889120574637024
217,-0.28251987923555066
218,-0.3644008191147967
219,-0.11239596229437483
220,-0.4308822924370479
221,-0.2816391151964093
222,-0.25042874597761955
223,-0.167602020259585
224,-0.3267124970935192
225,-0.35619333588075097
226,-0.2761371618798818
227,-0.17431944342781874
228,-0.031817872348740533
229,-0.24377993358817215
230,-0.25747014860837186
231,-0.24682212459091885
232,-0.1396367777493698
233,-0.16816872926213963
234,-0.33151163177536835
235,-0.11630946862207775
236,-0.31272243890172857
237,-0.25139640728345164
238,-0.19993177912110638
239,-0.311824346047129
240,-0.1863199886406867
241,-0.3235858154303071
242,-0.3143190790079776
243,-0.3304377673342589
